posting_yyyymm|BUKRS|awtyp|document_count
201112|1000|RMRP|3
201112|2000|BKPFF|1
201112|1000|VBRK|1
201111|1000|VBRK|13
201111|1000|MKPF|8
201111|6200|MKPF|6
201111|1000|BKPF|6
201111|6200|VBRK|6
201111|1000|BKPFF|3
201110|1000|VBRK|5
201110|6200|MKPF|3
201110|1000|RMRP|2
201110|1000|MKPF|2
201110|6200|RMRP|2
201110|6200|VBRK|2
201110|1000|PRCHG|2
201110|1000|BKPF|2
201110|2000|RMRP|1
201110|2000|MKPF|1
201109|1000|VBRK|8
201109|1000|MKPF|5
201109|1000|BKPF|2
201109|6200|VBRK|1
201109|6300|MKPF|1
201109|1000|AUAK|1
201109|2000|MKPF|1
201109|2000|VBRK|1
201109|1000|BKPFF|1
201108|1000|VBRK|12
201108|6200|VBRK|10
201108|6200|MKPF|5
201108|6300|MKPF|3
201108|6210|MKPF|2
201108|1000|MKPF|1
201108|6200|PRCHG|1
201107|6200|MKPF|23
201107|1000|MKPF|21
201107|1000|VBRK|15
201107|6200|VBRK|10
201107|6210|MKPF|7
201107|6300|MKPF|7
201107|2000|VBRK|4
201107|6210|VBRK|3
201107|1000|BKPF|2
201107|5000|MKPF|2
201107|6300|VBRK|2
201107|3100|MKPF|1
201106|6200|MKPF|27
201106|6200|VBRK|26
201106|6210|MKPF|18
201106|1000|MKPF|11
201106|1000|BKPFF|9
201106|6300|MKPF|8
201106|1000|VBRK|4
201106|6210|RMRP|1
201105|6300|BKPF|4
201105|1000|MKPF|3
201105|1000|BKPFF|1
201105|1000|VBRK|1
201104|1000|BKPF|3
201104|1000|VBRK|1
201104|6300|BKPF|1
201104|2000|BKPF|1
201103|1000|BKPF|6
201103|1000|MKPF|4
201103|1000|VBRK|2
201103|6200|VBRK|2
201103|6200|MKPF|2
201102|1000|MKPF|3
201102|2000|MKPF|1
201101|1000|MKPF|9
201012|1000|BKPF|13
201012|1000|MKPF|9
201012|6200|MKPF|5
201012|1000|VBRK|3
201012|6200|RMRP|1
201012|2000|BKPFF|1
201012|6200|BKPF|1
201012|1000|AUAK|1
201011|1000|VBRK|19
201011|1000|MKPF|9
201011|1000|BKPF|8
201011|3000|VBRK|3
201011|5000|VBRK|1
201011|6200|VBRK|1
201010|1000|MKPF|10
201010|1000|VBRK|8
201010|1000|BKPF|4
201010|1000|BKPFF|3
201010|2000|BKPF|2
201010|2000|BKPFF|2
201010|1000|RMRP|1
201010|5000|RMRP|1
201009|1000|MKPF|13
201009|1000|RMRP|9
201009|1000|VBRK|8
201009|1000|BKPF|2
201009|6200|MKPF|2
201009|2000|MKPF|2
201009|6200|VBRK|1
201008|1000|MKPF|61
201008|1000|VBRK|13
201008|1000|BKPF|11
201008|2000|MKPF|10
201008|1000|RMRP|7
201008|2000|VBRK|2
201008|1000|PRCHG|1
201008|6200|MKPF|1
201007|1000|MKPF|52
201007|2000|MKPF|16
201007|1000|VBRK|10
201007|2000|VBRK|5
