posting_yyyymm|WERKS|BWART|movement_rows
200909|1000|344|32
200909|2000|101|32
200909|1000|101|32
200909|6300|344|30
200909|3000|101|30
200909|1000|602|29
200909|2000|561|29
200909|6200|101|27
200909|3000|344|26
200909|1000|413|26
200909|6300|101|25
200909|6200|344|24
200909|5000|344|24
200909|6210|344|24
200909|5000|101|24
200909|6100|101|23
200909|6210|101|23
200909|1000|301|23
200909|3100|101|23
200909|3100|344|22
200909|6100|344|22
200909|6100|412|20
200909|2000|412|20
200909|3000|412|18
200909|6210|561|16
200909|3100|561|15
200909|5000|561|15
200909|3000|561|14
200909|6100|561|14
200909|6200|561|14
200909|1000|411|14
200909|5000|411|14
200909|6300|561|14
200909|6210|412|14
200909|1000|542|14
200909|5000|601|13
200909|3000|459|12
200909|3100|301|12
200909|6100|301|11
200909|1000|543|11
200909|2000|411|10
200909|6210|454|10
200909|6300|454|10
200909|2000|459|10
200909|3100|454|10
200909|2000|454|10
200909|6100|454|10
200909|3100|413|10
200909|3000|454|10
200909|5000|454|10
200909|6200|454|10
200909|1000|161|10
200909|6100|411|10
200909|1000|454|10
200909|1000|459|10
200909|2000|313|10
200909|1000|202|10
200909|3000|161|9
200909|6300|412|8
200909|6210|313|8
200909|3000|411|8
200909|3000|301|8
200909|3100|411|8
200909|3000|202|8
200909|1000|311|8
200909|6210|411|8
200909|2000|202|8
200909|5000|313|8
200909|6200|459|8
200909|6200|412|8
200909|1000|313|8
200909|2000|161|8
200909|6300|313|8
200909|3000|313|8
200909|3100|313|8
200909|1000|343|8
200909|6100|313|8
200909|6200|313|8
200909|2000|201|7
200909|3000|201|7
200909|6200|202|7
200909|5000|602|7
200909|6210|301|7
200909|2000|301|7
200909|5000|202|7
200909|6210|202|7
200909|6300|301|7
200909|3100|202|7
200909|6200|301|7
200909|6100|202|7
200909|6200|161|7
200909|6300|202|7
200909|3100|460|6
200909|3000|453|6
200909|6200|413|6
200909|1000|702|6
200909|6300|460|6
200909|2000|460|6
200909|3100|459|6
200909|6300|459|6
200909|6210|460|6
200909|5000|460|6
200909|5000|459|6
200909|1000|201|6
200909|3000|460|6
200909|5000|161|6
200909|6200|453|6
200909|2000|601|6
200909|6100|453|6
200909|1000|453|6
200909|6210|459|6
200909|6300|161|6
200909|5000|301|6
200909|3100|453|6
200909|2000|453|6
200909|3000|601|6
200909|6300|453|6
200909|6210|161|6
200909|6200|460|6
200909|6100|460|6
200909|3100|201|6
200909|6300|413|6
200909|6100|459|6
200909|6300|201|6
200909|6200|201|6
200909|6100|201|6
200909|6210|453|6
200909|1000|460|6
200909|5000|453|6
200909|5000|413|6
200909|6210|413|6
200909|3000|413|6
200909|6210|201|6
200909|2000|413|6
200909|5000|201|6
200909|3100|601|6
200909|1000|651|6
200909|1000|701|5
200909|3100|161|5
200909|2000|315|5
200909|6100|161|5
200909|2000|555|4
200909|6300|343|4
200909|6200|311|4
200909|3100|343|4
200909|2000|343|4
200909|6100|311|4
200909|6300|315|4
200909|6100|315|4
200909|5000|315|4
200909|3000|311|4
200909|3100|315|4
200909|6210|343|4
200909|6300|411|4
200909|6210|315|4
200909|3000|315|4
200909|6200|411|4
200909|6200|343|4
200909|6300|311|4
200909|2000|311|4
200909|6100|343|4
200909|3100|311|4
200909|5000|311|4
200909|6100|413|4
200909|1000|555|4
200909|5000|343|4
200909|3000|343|4
200909|6200|315|4
200909|1000|102|4
200909|1000|315|4
200909|3100|102|4
200909|6210|311|4
200909|6200|102|4
200909|2000|102|4
200909|6210|102|3
200909|6100|102|3
200909|3000|102|3
200909|5000|102|3
200909|6300|102|3
200909|3000|651|3
200909|6100|555|3
200909|6200|555|3
200909|3100|602|3
200909|5000|555|3
200909|6210|555|3
200909|3000|555|3
200909|3100|555|3
200909|6300|555|3
200909|1000|414|2
200909|2000|651|2
200909|6210|601|2
200909|1000|562|2
200909|6200|601|2
200909|1000|103|1
200909|1000|501|1
200909|1000|653|1
200909|1000|261|1
200909|3100|701|1
200909|1000|105|1
200909|6200|651|1
200908|1000|101|63
200908|1000|601|37
200908|1000|561|28
200908|2000|561|16
200908|1000|541|16
200908|5000|561|12
200908|3000|561|10
200908|6210|561|10
200908|6100|561|10
200908|6300|561|10
200908|6200|561|10
200908|3100|561|10
200908|1000|653|10
200908|1000|543|8
200908|2000|601|7
200908|1000|344|6
200908|1000|102|5
200908|3000|412|4
200908|1000|413|4
200908|1000|161|4
200908|1000|311|4
200908|1000|313|4
200908|2000|412|4
200908|1000|412|4
200908|1000|343|4
200908|1000|602|3
200908|3100|101|3
200908|6100|313|2
200908|3100|343|2
200908|6210|344|2
200908|3000|313|2
200908|5000|343|2
200908|3100|311|2
200908|3000|411|2
200908|2000|343|2
200908|3000|343|2
200908|1000|453|2
200908|6100|311|2
200908|2000|602|2
200908|5000|311|2
200908|2000|344|2
200908|6300|311|2
200908|2000|411|2
200908|3100|313|2
200908|6200|311|2
200908|6300|344|2
200908|2000|311|2
200908|6200|313|2
200908|6200|343|2
200908|6300|313|2
200908|3100|702|2
200908|6100|344|2
200908|6210|311|2
200908|3000|344|2
200908|5000|313|2
200908|1000|411|2
200908|1000|459|2
200908|6200|344|2
200908|6100|343|2
200908|3000|311|2
200908|6300|343|2
200908|6210|313|2
200908|3100|344|2
200908|5000|344|2
200908|6210|343|2
200908|1000|340|2
200908|2000|313|2
200908|1000|315|2
200908|3100|202|1
200908|1000|202|1
200908|2000|201|1
200908|3000|201|1
200908|1000|651|1
200908|3000|501|1
200908|5000|202|1
